procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 29673020 132764 1360720    0    0     0     0 1075   37 13  0 88  0
 1  0      0 29670848 132764 1360904    0    0     0     8 1070   33 12  0 87  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 29668460 132776 1361108    0    0    12  7140 1095   61 13  0 87  0
 1  0      0 29666288 132784 1361284    0    0     0    20 1079   51 12  0 87  0
 1  0      0 29664116 132792 1361396    0    0     0    24 1070   45 12  0 87  0
 1  0      0 29661820 132792 1361592    0    0     0     0 1063   31 12  0 87  0
 1  0      0 29659524 132792 1361772    0    0     0     0 1083   53 13  0 88  0
 1  0      0 29659400 132792 1361956    0    0     0     0 1066   37 13  0 88  0
 1  0      0 29657212 132800 1362136    0    0     0    12 1081   45 12  0 87  0
 1  0      0 29654916 132808 1362308    0    0     0    12 1092   55 13  0 87  0
 1  0      0 29652744 132808 1362488    0    0     0     0 1078   43 12  0 87  0
 1  0      0 29651628 132808 1362668    0    0     0     0 1067   35 12  0 88  0
 1  0      0 29651504 132808 1362852    0    0     0     8 1076   37 13  0 88  0
 1  0      0 29651380 132816 1363032    0    0     0    12 1072   45 12  0 87  0
 1  0      0 29651256 132824 1363204    0    0     0    12 1074   55 13  0 87  0
 1  0      0 29651008 132824 1363384    0    0     0     0 1069   35 12  0 87  0
 1  0      0 29650884 132824 1363508    0    0     0     0 1059   29 13  0 88  0
 1  0      0 29650760 132824 1363704    0    0     0     0 1066   35 12  0 88  0
 1  0      0 29650496 132832 1363884    0    0     0    12 1090   54 13  0 87  0
 1  0      0 29650372 132840 1364056    0    0     0    12 1098   57 13  0 87  0
 1  0      0 29650248 132840 1364180    0    0     0     0 1071   27 13  0 88  0
 1  0      0 29650000 132840 1364428    0    0     0     0 1064   29 12  0 87  0
 2  0      0 29649908 132840 1364548    0    0     0  3492 1103   58 12  0 87  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 29649660 132848 1364720    0    0     0    12 1085   55 13  0 87  0
 1  0      0 29649536 132856 1364896    0    0     0    20 1085   49 13  0 87  0
 1  0      0 29649412 132856 1365092    0    0     0     0 1070   34 13  0 88  0
 1  0      0 29649164 132856 1365332    0    0     0     0 1075   39 13  0 88  0
 1  0      0 29648792 132856 1365512    0    0     0     0 1066   37 13  0 88  0
 1  0      0 29648652 132864 1365684    0    0     0    12 1090   51 12  0 87  0
 1  0      0 29648280 132872 1365868    0    0     0    12 1076   53 13  0 88  0
 1  0      0 29648156 132872 1366048    0    0     0     0 1074   41 12  0 87  0
 1  0      0 29647908 132872 1366228    0    0     0     0 1069   35 13  0 88  0
 1  0      0 29647784 132872 1366408    0    0     0    48 1074   41 12  0 88  0
 1  0      0 29647660 132880 1366532    0    0     0    20 1077   51 13  0 87  0
 1  0      0 29647536 132880 1366712    0    0     0     0 1070   39 12  0 87  0
 1  0      0 29647288 132888 1366896    0    0     0    12 1073   48 12  0 87  0
 1  0      0 29647164 132888 1367080    0    0     0     0 1068   31 12  0 88  0
 1  0      0 29646916 132888 1367268    0    0     0  2700 1079   37 13  0 87  0
 1  0      0 29646776 132896 1367440    0    0     0    12 1106   63 12  0 87  0
 1  0      0 29646512 132896 1367620    0    0     0     0 1073   37 12  0 87  0
 1  0      0 29646388 132904 1367792    0    0     0    20 1070   42 13  0 87  0
 1  0      0 29646140 132904 1367992    0    0     0     0 1063   29 12  0 87  0
 1  0      0 29646016 132904 1368172    0    0     0     0 1070   45 12  0 88  0
 1  0      0 29645768 132912 1368344    0    0     0    12 1079   49 13  0 87  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  0      0 29645644 132912 1368464    0    0     0     0 1073   35 12  0 87  0
 1  0      0 29645520 132920 1368704    0    0     0    12 1064   49 12  0 87  0
 1  0      0 29645272 132920 1368888    0    0     0     0 1068   39 12  0 88  0
 1  0      0 29645148 132920 1369008    0    0     0     0 1068   41 13  0 88  0
 1  0      0 29645008 132928 1369188    0    0     0    12 1099   48 12  0 87  0
 1  0      0 29644760 132928 1369368    0    0     0     0 1079   35 13  0 88  0
