procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 9  0 1208016 3665228 802120 15409088    0    0     0     0 8077 1570 56 44  0  0
10  0 1208016 3393132 802120 15409088    0    0     0     0 8066  969 94  6  0  0
10  0 1208016 3392800 802128 15409080    0    0     0    12 8101 2582 99  1  0  0
 8  0 1208016 3391932 802128 15409088    0    0     0     4 8137 3412 98  2  0  0
 9  0 1208016 3391560 802128 15409088    0    0     0     0 8056  424 100  1  0  0
 1  0 1208016 3112036 802128 15409088    0    0     0     0 4368 1106 47  4 49  0
 1  0 1208016 3063952 802128 15409092    0    0     0     0 3010 3597 14  1 85  0
 1  1 1208016 12224464 802136 15409084    0    0     0    12 6096 5044 13 32 55  0
 1  0 1208016 12302528 802136 15409092    0    0     0     0 1925 1107 16  1 84  0
 1  0 1208016 12302636 802136 15409096    0    0     0     0 1710  851 15  0 85  0
 2  0 1208016 12302460 802136 15409096    0    0     0     0 1445  537 14  0 86  0
 1  0 1208016 12270196 802136 15409096    0    0     0     0 1820  950 16  1 84  0
 7  1 1208016 11039484 802144 15409088    0    0     0    12 3386 1113 16 17 67  0
 8  0 1208016 8957148 802144 15409096    0    0     0     0 8092  963 71 29  0  0
 8  0 1208016 7735492 802144 15409096    0    0     0     0 8083  437 84 16  0  0
 2  0 1208016 6562724 802144 15409096    0    0     0     0 7672 1348 80 13  7  0
 3  0 1208016 6918532 802144 15409096    0    0     0     0 5005 7214 11  5 84  0
 1  1 1208016 12267140 802152 15409088    0    0     0    24 3385  923 14 18 68  0
 1  0 1208016 12259984 802152 15409096    0    0     0     0 1704  853 15  0 84  0
 1  0 1208016 12259968 802152 15409100    0    0     0     0 1552  642 14  0 85  0
 8  0 1208016 10822244 802152 15409100    0    0     0     0 3655  827 18 21 61  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 8  0 1208016 8119396 802152 15409100    0    0     0     0 8071 1078 65 35  0  0
 1  0 1208016 6762192 802152 15409100    0    0     0     0 6254 3605 43 15 42  0
 1  0 1208016 6476456 802160 15409100    0    0     0    12 2376 2403 12  2 86  0
 2  0 1208016 12036672 802160 15409100    0    0     0     0 4718 3075 14 25 61  0
 1  0 1208016 12119624 802160 15409104    0    0     0     0 1580  644 14  1 85  0
 1  0 1208016 12119464 802160 15409104    0    0     0     0 1750  853 15  1 84  0
 1  0 1208016 12127920 802160 15409104    0    0     0     8 1554  647 15  0 85  0
 8  0 1208016 8996116 802168 15409096    0    0     0    20 6482  852 31 45 24  0
 8  0 1208016 6467756 802168 15409108    0    0     0     0 8075   54 67 33  0  0
 8  0 1208016 4791344 802168 15409108    0    0     0     0 8059   48 82 18  0  0
 9  0 1208016 3402540 802168 15409108    0    0     0     0 8100 1802 81 19  0  0
 8  0 1208016 3215132 802168 15409112    0    0     0    28 8090 1794 97  3  0  0
16  1 1208016 3037492 802176 15409104    0    0     0    20 8104  733 98  2  0  0
 8  0 1208016 2997936 802176 15409112    0    0     0     0 8130 2674 98  2  0  0
 8  0 1208016 2978140 802176 15409112    0    0     0     0 8074  611 99  1  0  0
 8  0 1208016 2966560 802176 15409112    0    0     0     0 8130 2332 99  1  0  0
 8  0 1208016 2954412 802176 15409116    0    0     0     0 8068  743 99  1  0  0
 8  1 1208016 2944076 802184 15409108    0    0     0    12 8137 3480 99  1  0  0
 8  0 1208016 2934572 802184 15409120    0    0     0     0 8072 1489 99  1  0  0
10  0 1208016 2924324 802184 15409120    0    0     0     0 8103 3336 99  1  0  0
 8  0 1208016 2914528 802184 15409124    0    0     0     0 8095 2918 99  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 8  0 1208016 2905396 802184 15409124    0    0     0     0 8096 1257 99  1  0  0
 8  1 1208016 2898964 802192 15409116    0    0     0    12 8173 2224 99  1  0  0
12  0 1208016 2889976 802192 15409124    0    0     0     0 8117  826 99  1  0  0
10  0 1208016 2882620 802192 15409124    0    0     0     0 8141 5312 98  2  0  0
 9  0 1208016 2874432 802192 15409128    0    0     0     0 8077 1223 99  1  0  0
12  0 1208016 2866852 802192 15409128    0    0     0     0 8131 2943 99  1  0  0
 8  0 1208016 2859224 802192 15409128    0    0     0     0 8101 2349 99  1  0  0
16  0 1208016 2852124 802200 15409128    0    0     0    12 8111 2702 99  1  0  0
 9  0 1208016 2845788 802200 15409136    0    0     0     0 8111 2612 99  1  0  0
 5  0 1208016 5045968 802200 15409136    0    0     0     0 8085 3918 82  8 10  0
 2  0 1208016 8479128 802200 15409136    0    0     0     0 6137 4840 40  9 51  0
 1  0 1208016 12097524 802200 15409136    0    0     0     0 2546 1326 14  7 80  0
 1  0 1208016 12098064 802208 15409136    0    0     0    12 1572  663 14  0 85  0
 1  0 1208016 12157188 802208 15409140    0    0     0     0 1875 1084 16  1 84  0
 1  0 1208016 12094196 802208 15396060    0    0     0     0 1825  962 15  1 84  0
 1  0 1208016 12070924 802208 15396404    0    0     0    12 1426  498 14  0 86  0
 1  0 1208016 12050196 802208 15396764    0    0     0     0 1246  269 13  0 87  0
 1  0 1208016 12031284 802216 15397124    0    0     0    12 1417  512 14  0 86  0
 1  0 1208016 12012480 802216 15397424    0    0     0     0 1404  464 14  0 86  0
 2  0 1208016 11995928 802224 15397720    0    0     0  1824 1255  283 13  0 86  0
 1  0 1208016 11977028 802224 15398020    0    0     0    12 1405  480 14  0 86  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 1  1 1208016 11962268 802232 15398260    0    0     0    20 1413  489 14  0 86  0
 1  0 1208016 11945892 802232 15398568    0    0     0     0 1235  265 13  0 87  0
